SPX 8/7/2018,NAME,GICS_SECTOR_NAME
RTN UN Equity,RAYTHEON COMPANY,Industrials
RHI UN Equity,ROBERT HALF INTL INC,Industrials
SCG UN Equity,SCANA CORP,Utilities
SLB UN Equity,SCHLUMBERGER LTD,Energy
SCHW UN Equity,SCHWAB (CHARLES) CORP,Financials
SHW UN Equity,SHERWIN-WILLIAMS CO/THE,Materials
SJM UN Equity,JM SMUCKER CO/THE,Consumer Staples
AME UN Equity,AMETEK INC,Industrials
SNA UN Equity,SNAP-ON INC,Industrials
SO UN Equity,SOUTHERN CO/THE,Utilities
TFC UN Equity,TRUIST FINANCIAL CORP,Financials
LUV UN Equity,SOUTHWEST AIRLINES CO,Industrials
SWK UN Equity,STANLEY BLACK & DECKER INC,Industrials
PSA UN Equity,PUBLIC STORAGE,Real Estate
STI UN Equity,SUNTRUST BANKS INC,Financials
SYY UN Equity,SYSCO CORP,Consumer Staples
ANDV UN Equity,ANDEAVOR,Energy
TXN UW Equity,TEXAS INSTRUMENTS INC,Information Technology
TXT UN Equity,TEXTRON INC,Industrials
TMO UN Equity,THERMO FISHER SCIENTIFIC INC,Health Care
TIF UN Equity,TIFFANY & CO,Consumer Discretionary
TJX UN Equity,TJX COMPANIES INC,Consumer Discretionary
GL UN Equity,GLOBE LIFE INC,Financials
TSS UN Equity,TOTAL SYSTEM SERVICES INC,Information Technology
ULTA UW Equity,ULTA BEAUTY INC,Consumer Discretionary
JCI UN Equity,JOHNSON CONTROLS INTERNATION,Industrials
UNP UN Equity,UNION PACIFIC CORP,Industrials
UNH UN Equity,UNITEDHEALTH GROUP INC,Health Care
UNM UN Equity,UNUM GROUP,Financials
MRO UN Equity,MARATHON OIL CORP,Energy
VAR UN Equity,VARIAN MEDICAL SYSTEMS INC,Health Care
VTR UN Equity,VENTAS INC,Real Estate
VFC UN Equity,VF CORP,Consumer Discretionary
VNO UN Equity,VORNADO REALTY TRUST,Real Estate
VMC UN Equity,VULCAN MATERIALS CO,Materials
WY UN Equity,WEYERHAEUSER CO,Real Estate
WHR UN Equity,WHIRLPOOL CORP,Consumer Discretionary
WMB UN Equity,WILLIAMS COS INC,Energy
WEC UN Equity,WEC ENERGY GROUP INC,Utilities
ADBE UW Equity,ADOBE INC,Information Technology
AES UN Equity,AES CORP,Utilities
AMGN UW Equity,AMGEN INC,Health Care
AAPL UW Equity,APPLE INC,Information Technology
ADSK UW Equity,AUTODESK INC,Information Technology
CTAS UW Equity,CINTAS CORP,Industrials
CMCSA UW Equity,COMCAST CORP-CLASS A,Communication Services
TAP UN Equity,MOLSON COORS BREWING CO -B,Consumer Staples
MAR UW Equity,MARRIOTT INTERNATIONAL -CL A,Consumer Discretionary
KLAC UW Equity,KLA CORP,Information Technology
MKC UN Equity,MCCORMICK & CO-NON VTG SHRS,Consumer Staples
JWN UN Equity,NORDSTROM INC,Consumer Discretionary
PCAR UW Equity,PACCAR INC,Industrials
COST UW Equity,COSTCO WHOLESALE CORP,Consumer Staples
SYK UN Equity,STRYKER CORP,Health Care
TSN UN Equity,TYSON FOODS INC-CL A,Consumer Staples
AMAT UW Equity,APPLIED MATERIALS INC,Information Technology
AAL UW Equity,AMERICAN AIRLINES GROUP INC,Industrials
CAH UN Equity,CARDINAL HEALTH INC,Health Care
CELG UW Equity,CELGENE CORP,Health Care
