Companies,Ticker,PE_Calc,PBV_Calc,IQ_MarketCap,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_NORM_MARGIN,Return on Equity_Calc,IQ_RETURN_ASSETS,IQ_BETA_2YR
"BlackRock, Inc.",NYSE:BLK,23.61358459,2.364968945,76641.5473,16.9163,23.4522,10.10159818,1.9809,1.31619
Booking Holdings Inc.,NasdaqGS:BKNG,26.05325775,13.61967262,80609.05552,60.4899,21.8624,55.68433869,14.5389,1.0915
BorgWarner Inc.,NYSE:BWA,13.27828171,2.035279412,9071.23999,32.0771,6.7011,15.43778162,7.4326,1.26967
"Boston Properties, Inc.",NYSE:BXP,75.13188714,3.878176283,21228.0099,60.525,9.6676,5.141052443,3.1747,0.79473
Boston Scientific Corporation,NYSE:BSX,66.51790458,6.297071761,61077.3498,53.591,8.8048,9.594739257,4.7231,1.12866
Bristol-Myers Squibb Company,NYSE:BMY,19.4510327,5.761765181,146300.5732,59.2096,21.6853,31.08620092,9.8363,0.75431
Broadcom Inc.,NasdaqGS:AVGO,53.98004028,5.917711749,126823.5795,63.5961,10.7006,10.80860567,5.1419,0.9694
"Broadridge Financial Solutions, Inc.",NYSE:BR,37.89907966,11.96915802,13691.04073,63.7751,8.3823,31.76139141,10.2903,0.86468
Brown-Forman Corporation,NYSE:BF.B,46.44152213,15.69270061,29714.64899,56.3202,19.266,36.3955345,12.9648,0.64208
"C.H. Robinson Worldwide, Inc.",NasdaqGS:CHRW,19.34750298,6.13036043,10264.15453,47.6935,3.4427,31.88433599,12.4419,0.78132
Cabot Oil & Gas Corporation,NYSE:COG,10.5609864,2.948526106,6526.79477,36.226,29.1714,27.46869903,15.4598,0.65324
"Cadence Design Systems, Inc.",NasdaqGS:CDNS,58.58138625,12.48985874,18488.27277,23.8672,13.3296,21.6679606,12.894,1.04928
Campbell Soup Company,NYSE:CPB,29.28663423,11.69488014,14473.42355,87.3185,6.0969,42.18537163,5.1223,0.45462
Capital One Financial Corporation,NYSE:COF,10.84361693,0.901283629,47238.07961,0,19.869,8.433057469,1.5151,1.42255
Capri Holdings Limited,NYSE:CPRI,12.91726846,2.402174441,5777.31198,65.4441,7.978,18.9229798,7.9598,1.04848
"Cardinal Health, Inc.",NYSE:CAH,16.58903925,17.6711691,15876.26786,90.2997,0.6597,27.00198675,2.9533,1.34984
"CarMax, Inc.",NYSE:KMX,23.04518513,4.521215884,16283.50785,80.977,3.5864,20.09018871,4.0419,0.90451
Carnival Corporation & Plc,NYSE:CCL,16.22694332,1.243634149,30831.63563,29.8374,9.5431,7.864836903,4.87,1.00804
Caterpillar Inc.,NYSE:CAT,16.58281215,5.322552208,79582.80773,72.0279,8.9812,32.50650415,6.5051,1.51961
"Cboe Global Markets, Inc.",BATS:CBOE,33.20066459,3.86703677,12826.64894,21.7144,14.6893,11.67196307,8.0914,0.60226
"CBRE Group, Inc.",NYSE:CBRE,22.03244703,3.481954759,19133.32503,44.3952,3.8736,16.05799094,6.0739,1.15345
CDW Corporation,NasdaqGS:CDW,33.95268748,20.87635767,19491.71739,80.2867,3.3309,61.68786456,9.0584,1.10225
Celanese Corporation,NYSE:CE,20.35879495,5.423557826,14842.13013,55.9994,11.657,26.34597609,6.7574,1.02849
Centene Corporation,NYSE:CNC,17.58004557,1.970987097,24265.00166,38.6331,2.0138,11.27984436,4.9534,0.98583
"CenterPoint Energy, Inc.",NYSE:CNP,19.72397433,1.909041146,12611.28967,64.1725,5.2758,9.744229942,2.7562,0.38893
"CenturyLink, Inc.",NYSE:CTL,10.55685329,1.117117979,15274.10969,72.9597,6.2806,10.5740428,3.8939,1.34757
Cerner Corporation,NasdaqGS:CERN,53.99975832,5.08814228,22457.96482,20.9891,7.5965,9.16875444,5.966,1.10241
"CF Industries Holdings, Inc.",NYSE:CF,33.56483225,3.257383757,9688.7615,46.6672,6.3396,9.590653668,4.5715,1.02468
