Company Name,Ticker,IQ_PE_EXCL,IQ_PE_NORMALIZED,IQ_PBV,IQ_TOTAL_DEBT_EQUITY,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_MARGIN,IQ_NI_NORM_MARGIN,IQ_RETURN_COMMON_EQUITY,IQ_RETURN_ASSETS,IQ_BETA_2YR,IQ_BETA_5YR
"Equinix, Inc. (REIT)",NasdaqGS:EQIX,94.592,106.17168,5.44304,139.9342,58.3219,9.18,8.1876,6.1863,3.0755,0.48424,0.62033
"Waste Management, Inc.",NYSE:WM,27.27781,32.71842,6.97786,203.8603,67.0901,11.352,9.4467,26.9348,7.0045,0.64283,0.60605
Capital One Financial Corporation,NYSE:COF,9.00664,10.88959,0.90084,0,0,25.4531,19.869,10.765,1.5151,1.42255,1.28815
"DuPont de Nemours, Inc.",NYSE:DD,16.09999,8.0514,1.14229,43.3861,30.2582,0.943,6.9769,4.2729,5.1134,0.79687,1.03402
Kimberly-Clark Corporation,NYSE:KMB,23.49317,25.73333,NM,9317.0454,98.938,10.9622,9.9987,NM,13.4766,0.53076,0.52213
"Marriott International, Inc.",NasdaqGS:MAR,36.81661,40.9114,55.50669,1405.4892,93.3576,24.7592,22.2851,82.9222,5.7302,0.85709,1.29187
Humana Inc.,NYSE:HUM,18.53835,22.67059,3.97404,58.4518,36.8893,4.063,3.3221,22.9791,7.4245,0.97346,0.89954
The Bank of New York Mellon Corporation,NYSE:BK,12.92381,15.9852,1.21821,0,0,24.7135,19.0006,9.7782,1.0756,1.11668,1.12417
Emerson Electric Co.,NYSE:EMR,20.23989,25.54521,5.57269,69.1526,40.8818,12.5517,9.9295,26.8451,9.3611,1.21921,1.38362
"American Electric Power Company, Inc.",NYSE:AEP,21.43179,32.97833,2.31456,148.2008,59.71,13.5331,8.8057,11.0034,2.6529,0.25824,0.07185
"MetLife, Inc.",NYSE:MET,6.61423,8.10837,0.66581,144.61,59.1186,10.8246,8.6033,11.9923,0.898,1.31542,1.14052
"Simon Property Group, Inc.",NYSE:SPG,19.893,38.37065,17.2965,821.3538,89.1464,40.6874,21.0497,77.0698,5.4359,0.47802,0.52563
"American International Group, Inc.",NYSE:AIG,25.72795,29.01622,0.69283,52.2826,34.3326,3.5541,3.1387,2.8859,0.6689,0.84852,1.18697
"Kinder Morgan, Inc.",NYSE:KMI,21.75776,22.50953,1.33,105.5563,51.3515,15.2075,14.5365,6.1114,3.2284,0.83708,0.75527
"Advanced Micro Devices, Inc.",NasdaqGS:AMD,207.4413,260.43583,20.28852,51.0569,33.7998,3.47,2.781,12.6628,4.6354,2.07669,3.07798
Moody's Corporation,NYSE:MCO,33.96216,40.16762,92.56623,828.1183,89.2255,28.1962,23.8483,300.8823,13.7767,1.1819,1.22874
Exelon Corporation,NasdaqGS:EXC,18.91375,23.15816,1.3618,114.4329,53.3653,6.634,5.3933,7.3473,2.332,0.35633,0.24314
"EOG Resources, Inc.",NYSE:EOG,14.36208,18.24732,2.03691,28.6242,22.2541,17.4147,13.7105,15.0829,6.9889,1.11064,1.37905
"Analog Devices, Inc.",NasdaqGS:ADI,31.75068,43.53893,3.64522,48.088,32.4725,22.7507,16.5662,11.8358,5.3981,1.20731,1.40806
The Progressive Corporation,NYSE:PGR,13.66433,16.87847,3.1303,32.1381,24.3216,8.7187,6.9954,25.1041,5.3388,0.82631,0.62931
"L3Harris Technologies, Inc.",NYSE:LHX,24.25267,30.23371,1.87282,34.5736,25.6912,12.0227,9.6388,8.9556,4.3154,0.62775,0.87671
Baxter International Inc.,NYSE:BAX,27.73256,37.98485,5.43202,73.8386,42.4754,14.2779,10.5031,19.0259,6.7331,0.85573,0.90315
"Activision Blizzard, Inc.",NasdaqGS:ATVI,26.16086,34.78569,3.46614,24.1111,19.427,23.6635,17.7585,14.2308,7.1158,0.77789,0.82315
