,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
2/15/2000,77.3517,14419.435,23.4508,23.8196,6.1014,2.4675,-0.3889923691642132,-0.35746760399767663,0.5814622803339305,1.028574318515147,-0.00395063340733981,-0.04906330850035845,-0.18736847713166938,0.05556101878257458,0.02533286494674611,0.02050398543431178
2/16/2000,77.3517,14419.435,23.4508,23.8196,6.1014,2.4675,-0.38489611162077964,-0.3726875888419545,0.5814622803339305,1.028574318515147,0.0,-0.019461631177179584,-0.17443779936676318,0.05556101878257458,0.024501436621315112,0.020443852283777167
2/17/2000,77.3517,14419.435,23.4508,23.8196,6.1256,2.4675,-0.3879235404030815,-0.35163221055366256,0.5837685358136698,1.032653955730879,0.00396630281574728,-0.0559733694982123,-0.1631693989071038,0.05556101878257458,0.02243685410513954,0.02044313996230569
2/18/2000,77.3517,14419.435,23.4508,23.8196,6.1256,2.4675,-0.3824564233363241,-0.3556097708507657,0.5837685358136698,1.032653955730879,0.0,-0.04166210359986844,-0.14949391166710635,0.05556101878257458,0.022259037673365716,0.020372634670606023
2/21/2000,77.3517,14419.435,23.4508,23.8196,6.1256,2.4675,-0.39195775388860754,-0.3607099252553526,0.5837685358136698,1.032653955730879,0.0,-0.04887895161791189,-0.15225995737496179,0.05556101878257458,0.022160584023926892,0.020362244462079123
2/22/2000,77.3517,14419.435,23.4508,23.8196,6.1983,2.4675,-0.38688362431376433,-0.3653296404372126,0.5906968322342088,1.0449097253830981,0.011868225153454315,-0.033960911442910136,-0.14219878767748895,0.05556101878257458,0.022365310329862692,0.020439706948429615
2/23/2000,77.3517,14419.435,23.4508,23.8196,6.1256,2.4675,-0.3940748800633068,-0.38209604827142796,0.5837685358136698,1.032653955730879,-0.01172902247390406,-0.01938623593257227,-0.14949391166710635,0.05556101878257458,0.021765646343794052,0.020474434221163504
2/24/2000,77.3517,14419.435,23.4508,23.8196,6.0288,2.4675,-0.399629548487323,-0.40927921289011937,0.5745435138947128,1.0163354068679513,-0.015802533629358795,0.01633540686795132,-0.1375600823987182,0.05556101878257458,0.018943196383014844,0.020254849682481323
2/25/2000,77.3517,14419.435,23.4508,23.8196,6.0046,2.4675,-0.4047189451769604,-0.3903241796371567,0.5722372584149735,1.0122557696522194,-0.004014065817409818,-0.023610523919477044,-0.1467708703374777,0.05556101878257458,0.017089791988727305,0.020224064895961888
2/28/2000,77.3517,14419.435,23.4508,23.8196,6.1256,2.4675,-0.3913596438933269,-0.38895512896943674,0.5837685358136698,1.032653955730879,0.02015121739999337,-0.003935087319912767,-0.12371252002746624,0.05556101878257458,0.01770346998316092,0.020412280413978218
2/29/2000,77.3517,14419.435,23.4508,23.8196,5.9803,2.4675,-0.4188297489820313,-0.39764433776153785,0.569921472953913,1.0081592744314638,-0.023720125375473522,-0.03517093396576476,-0.14737667522098652,0.05556101878257458,0.018328366542887428,0.020584268080692827
3/1/2000,77.3517,14419.435,23.4508,23.8196,6.0288,2.4675,-0.4089295868546442,-0.4089295868546442,0.5745435138947128,1.0163354068679513,0.008109961038744062,0.0,-0.17105968733242582,0.05556101878257458,0.017444579881733896,0.02001072514342392
3/2/2000,77.3517,14419.435,23.4508,23.8196,6.3435,2.4675,-0.3766949652163659,-0.4004834335573635,0.6045343651126444,1.0693875486774895,0.05219944267515908,0.03967941783852891,-0.12210412687868466,0.05556101878257458,0.020709619937149638,0.021167817870792447
3/3/2000,77.3517,14419.435,23.4508,23.8196,6.3919,2.4675,-0.3719392367252289,-0.36717368234877956,0.6091468760721229,1.0775468231089533,0.007629857334279233,-0.007530588162226071,-0.10204683702569428,0.05219944267515908,0.01678774331923134,0.021134243957164026
3/6/2000,77.3517,14419.435,23.4508,23.8196,6.2467,2.4675,-0.3862064221986401,-0.3719392367252289,0.5953093431936873,1.053068999814562,-0.022716250254227965,-0.022716250254227965,-0.10415889860892014,0.05219944267515908,0.01743272867168287,0.02116948286983032
3/7/2000,77.3517,14419.435,23.4508,23.8196,6.7115,2.4675,-0.34777115868650454,-0.3741168696125402,0.6396046963747951,1.131425007164652,0.07440728704756117,0.042093658778957765,-0.05714847646207655,0.07440728704756117,0.023949187752716324,0.023072551765675114
3/8/2000,77.3517,14419.435,23.4508,23.8196,6.7616,2.4675,-0.34576979642387184,-0.3745065407539283,0.6443792170167346,1.1398708676815186,0.007464799225210372,0.04594251771184599,-0.030316936756059176,0.07440728704756117,0.023974649418600422,0.02295494103902538
3/9/2000,77.3517,14419.435,23.4508,23.8196,6.8116,2.4675,-0.3409319606780711,-0.3768480532548959,0.649144207677353,1.1482998701933613,0.00739469947941318,0.05763617166635604,0.008364050865272254,0.07440728704756117,0.02395495280351731,0.02262672958719333
3/10/2000,77.3517,14419.435,23.4508,23.8196,6.9118,2.4675,-0.3398850113651557,-0.4034057265104196,0.658693248961232,1.1651915912270943,0.014710200246638161,0.10647221733075085,0.012302645068689833,0.07440728704756117,0.022836289173149817,0.022661386055005398
3/13/2000,77.3517,14419.435,23.4508,23.8196,6.8367,2.4675,-0.34137741683766365,-0.4028785295222682,0.6515362329889834,1.1525312294543064,-0.010865476431609733,0.10299598276946909,-0.005744451877490397,0.07440728704756117,0.022933710837350275,0.02268934525085515
3/14/2000,77.3517,14419.435,23.4508,23.8196,6.7616,2.4675,-0.34576979642387184,-0.4073070671104575,0.6443792170167346,1.1398708676815186,-0.010984831863325994,0.10382656392843126,-0.009695655994610308,0.07440728704756117,0.022907253569473762,0.022714966385532557
3/15/2000,77.3517,14419.435,23.4508,23.8196,6.8868,2.4675,-0.3321955665884452,-0.4083548280743944,0.656310753630923,1.1609770899711729,0.018516327496450602,0.12872455502015923,0.012228820036451316,0.07440728704756117,0.02299485938965371,0.022827707733994826
3/16/2000,77.3517,14419.435,23.4508,23.8196,6.9619,2.4675,-0.29883170510625445,-0.3854970289052272,0.6634677696031716,1.1736374517439607,0.010904919556252501,0.14103320549382103,0.041810699588477274,0.07440728704756117,0.022975049578517513,0.022743975592313066
3/17/2000,77.3517,14419.435,23.4508,23.8196,6.8868,2.4675,-0.28527543692141644,-0.36427415002698327,0.656310753630923,1.1609770899711729,-0.010787285080222309,0.12426537808541194,0.015857094390276272,0.07440728704756117,0.023281447411341152,0.022723388265992912
3/20/2000,77.3517,14419.435,23.4508,23.8196,6.8116,2.4675,-0.2601635729724445,-0.33467290836220653,0.649144207677353,1.1482998701933613,-0.010919440088284826,0.11198902964607549,0.02675570160232743,0.07440728704756117,0.02353902347175081,0.022598204267248557
3/21/2000,77.3517,14419.435,23.4508,23.8196,6.7365,2.4675,-0.26832049875636743,-0.33467290836220653,0.6419871917051043,1.1356395084205737,-0.011025309765693825,0.09972900613817415,0.0008319838357426779,0.07440728704756117,0.02378538797766427,0.022574071290673924
3/22/2000,77.3517,14419.435,23.4508,23.8196,6.5612,2.4675,-0.26945174364227487,-0.3098583708190442,0.6252811344489765,1.106087425614053,-0.026022415200771865,0.058548311633835226,-0.02521208159384325,0.07440728704756117,0.02464402735114639,0.02281569600950743
3/23/2000,77.3517,14419.435,23.4508,23.8196,6.7365,2.4675,-0.26832049875636743,-0.33467290836220653,0.6419871917051043,1.1356395084205737,0.02671767359629329,0.09972900613817415,0.008080808080808133,0.07440728704756117,0.024921994901364795,0.02304578124645875
3/24/2000,77.3517,14419.435,23.4508,23.8196,6.7616,2.4675,-0.2744830842194491,-0.353112224642424,0.6443792170167346,1.1398708676815186,0.0037259704594372334,0.12154989384288739,0.030511781022342754,0.07440728704756117,0.02447409366378553,0.02292686445040643
3/27/2000,77.3517,14419.435,23.4508,23.8196,6.7365,2.4675,-0.2841126461211477,-0.3618916046758768,0.6419871917051043,1.1356395084205737,-0.0037121391386653046,0.12188988442194315,0.015435401938469484,0.07440728704756117,0.024468155132515698,0.022894906535328587
3/28/2000,77.3517,14419.435,23.4508,23.8196,6.6363,2.4675,-0.28965030024726246,-0.344315639617653,0.6324381504212252,1.1187477873868408,-0.014874192830104715,0.0833714248400157,0.0003316199635219341,0.07440728704756117,0.024632080532441977,0.02297666810332126
3/29/2000,77.3517,14419.435,23.4508,23.8196,6.7115,2.4675,-0.27635693183533516,-0.35519591141396933,0.6396046963747951,1.131425007164652,0.011331615508641812,0.12226811363978407,0.019117468415937644,0.07440728704756117,0.02382691714436897,0.02299760972635083
3/30/2000,77.3517,14419.435,23.4508,23.8196,6.3108,2.4675,-0.3195609514156944,-0.34996657537791376,0.6014180612206,1.0638749810347445,-0.059703494002830926,0.04677547770700641,-0.01268793316541239,0.07440728704756117,0.027764174119732348,0.023931957181360052
3/31/2000,77.3517,14419.435,23.4508,23.8196,6.3358,2.4675,-0.3151967142239517,-0.3143644617380027,0.6038005565509091,1.0680894822906657,0.003961462889015666,-0.0012138409395443528,-0.04146810087898456,0.07440728704756117,0.025340068479121344,0.023538740925343016
4/3/2000,77.3517,14419.435,23.4508,23.8196,6.0103,2.4675,-0.34558975643217227,-0.30404059100856906,0.572780467350284,1.0132166759385695,-0.051374727737617976,-0.05970055851937606,-0.1350592908128022,0.07440728704756117,0.027646613144877177,0.023456662255168906
4/4/2000,77.3517,14419.435,23.4508,23.8196,6.1605,2.4675,-0.3225827734465202,-0.3131041004607382,0.5870944992947814,1.0385373994841451,0.024990433089862485,-0.013799286023020163,-0.10722566807721301,0.07440728704756117,0.02786708674416712,0.023692568369925622
4/5/2000,77.3517,14419.435,23.4508,23.8196,6.1605,2.4675,-0.338980868482891,-0.2798587937379958,0.5870944992947814,1.0385373994841451,0.0,-0.08209789167846238,-0.09773279826591286,0.02671767359629329,0.02200893857927617,0.02366519126591881
4/6/2000,77.3517,14419.435,23.4508,23.8196,6.0353,2.4675,-0.37511130438383966,-0.2999109564929284,0.5751629626805932,1.0174311771944908,-0.020323025728431032,-0.1074154046379554,-0.10010884637750295,0.02671767359629329,0.022130549586495997,0.023696291247591456
4/7/2000,77.3517,14419.435,23.4508,23.8196,5.9852,2.4675,-0.3788451160280626,-0.29307982896757856,0.5703884420386536,1.0089853166776244,-0.008301161499842724,-0.12132244993834052,-0.11397314621545196,0.02671767359629329,0.02194968202970361,0.023685949523371934
4/10/2000,77.3517,14419.435,23.4508,23.8196,6.0353,2.4675,-0.3692137250598354,-0.2776053261426227,0.5751629626805932,1.0174311771944908,0.008370647597407022,-0.12681211840620388,-0.10010884637750295,0.02671767359629329,0.02169406209150353,0.023708407197624754
4/11/2000,77.3517,14419.435,23.4508,23.8196,6.1605,2.4675,-0.3651128997351417,-0.2954252676924345,0.5870944992947814,1.0385373994841451,0.02074461915729109,-0.0989073675896267,-0.06798892570235548,0.02671767359629329,0.022438623781898672,0.02381047624830737
4/12/2000,77.3517,14419.435,23.4508,23.8196,6.2607,2.4675,-0.35328691843649285,-0.30154532683249324,0.5966435405786604,1.0554291205178779,0.016264913562210825,-0.07408009938476101,-0.024235528817680208,0.02671767359629329,0.022841489428864485,0.02362322893160066
4/13/2000,77.3517,14419.435,23.4508,23.8196,6.2857,2.4675,-0.35521362260860645,-0.29355285428527467,0.5990260359089696,1.0596436217737994,0.003993163703739144,-0.08728291804611721,-0.020339141547956685,0.02671767359629329,0.0223593423489432,0.02362890156386088
4/14/2000,77.3517,14419.435,23.4508,23.8196,6.0604,2.4675,-0.3811877144257475,-0.2891378042803463,0.5775549879922235,1.021662536455436,-0.03584326328014398,-0.12949051264740952,-0.026050622740056317,0.02671767359629329,0.023105737054158356,0.0237556098732901
4/17/2000,77.3517,14419.435,23.4508,23.8196,6.3859,2.4675,-0.3524281788405179,-0.3016336588482249,0.6085750771928488,1.0765353428075322,0.05370932611708801,-0.07273334494975892,-0.015858093946492402,0.05370932611708801,0.0265173375902325,0.024110894046470363
4/18/2000,77.3517,14419.435,23.4508,23.8196,6.3859,2.4675,-0.34945294513151726,-0.30608585807135147,0.6085750771928488,1.0765353428075322,0.0,-0.062496329790357574,-0.000938688027034118,0.05370932611708801,0.02646647798985509,0.02403469089828628
4/19/2000,77.3517,14419.435,23.4508,23.8196,6.3859,2.4675,-0.3640681949451293,-0.3291541357127208,0.6085750771928488,1.0765353428075322,0.0,-0.05204483040154384,-0.00846220731631575,0.05370932611708801,0.026403014344235205,0.024016423347295812
4/20/2000,77.3517,14419.435,23.4508,23.8196,6.3859,2.4675,-0.3640681949451293,-0.3466111653289251,0.6085750771928488,1.0765353428075322,0.0,-0.0267176735962934,-0.004722421370904839,0.05370932611708801,0.02583391976561861,0.024011234385673607
4/21/2000,77.3517,14419.435,23.4508,23.8196,6.3859,2.4675,-0.3654962044433845,-0.3306605460832239,0.6085750771928488,1.0765353428075322,0.0,-0.05204483040154384,0.02228376582835745,0.05370932611708801,0.025048244873078874,0.02376821454624727
4/24/2000,77.3517,14419.435,23.4508,23.8196,6.2357,2.4675,-0.37763117183835204,-0.32514247502320526,0.5942610452483513,1.0512146192619565,-0.0235205687530341,-0.0777774491244676,0.05121461926195647,0.05370932611708801,0.025426571213019795,0.023068623243940867
4/25/2000,77.3517,14419.435,23.4508,23.8196,6.2607,2.4675,-0.3888959384669445,-0.3424533182363907,0.5966435405786604,1.0554291205178779,0.004009172987796239,-0.07063014918726351,0.018033106767699758,0.05370932611708801,0.025479690390831602,0.022616237717779666
4/26/2000,77.3517,14419.435,23.4508,23.8196,6.4110000000000005,2.4675,-0.38372953695604106,-0.3620721145065319,0.6109671025044792,1.0807667020684772,0.02400690018688012,-0.033949640612992105,0.04247292594881147,0.05370932611708801,0.02599411703689397,0.02280853193786897
4/27/2000,77.3517,14419.435,23.4508,23.8196,6.2857,2.4675,-0.39577425525574605,-0.354843360985879,0.5990260359089696,1.0596436217737994,-0.01954453283419122,-0.06344334351486247,0.014100640498201145,0.05370932611708801,0.02611576301424786,0.02293477175980985
